dataset,split,model,experiment,seed,AP_easy,AP_mod,AP_hard,mAP50,MR_hard,FPS
kitti,test,yolov8x,combined_best_two,123,95.7,74.64,46.71,88.12,42.57,24.9
kitti,test,yolov8x,combined_best_two,456,96.66,75.94,47.03,88.53,44.3,24.95
kitti,test,yolov8x,cutout,42,95.11,77.57,49.84,88.61,39.75,24.77
kitti,test,yolov8x,cutout,123,95.49,78.88,47.47,89.19,40.64,24.69
kitti,test,yolov8x,cutout,456,95.77,76.98,48.61,88.79,39.800000000000004,24.82
kitti,test,yolov8x,gridcut,42,95.84,78.64999999999999,50.74999999999999,88.9,41.199999999999996,24.55
kitti,test,yolov8x,gridcut,123,95.8,75.16000000000001,50.849999999999994,89.49000000000001,37.26,24.77
kitti,test,yolov8x,gridcut,456,95.23,77.12,51.349999999999994,88.69,38.54,24.81
kitti,test,yolov8x,hs,42,94.28,78.27,48.089999999999996,87.69,42.35,24.59
kitti,test,yolov8x,hs,123,96.16,76.53,49.66,88.56,41.260000000000005,24.8
kitti,test,yolov8x,hs,456,95.95,78.09,49.02,88.64,41.58,24.62
kitti,test,yolov8x,random_erasing,42,95.65,75.14999999999999,47.49,88.4,41.86,24.84
kitti,test,yolov8x,random_erasing,123,95.7,76.21,48.55,88.91,39.68,24.89
kitti,test,yolov8x,random_erasing,456,96.00999999999999,76.39,50.080000000000005,88.55,39.85,24.86
kitti,val,yolov8x,baseline,42,95.19999999999999,68.24,44.62,87.11,41.760000000000005,24.73
kitti,val,yolov8x,baseline,123,94.94,67.60000000000001,43.93,86.96000000000001,41.730000000000004,17.56
kitti,val,yolov8x,baseline,456,95.36,67.81,46.400000000000006,87.13,41.17,24.7
kitti,val,yolov8x,combined_all,42,95.65,67.58999999999999,45.39,87.91,38.95,24.77
kitti,val,yolov8x,combined_all,123,96.07,69.49,47.099999999999994,88.34,38.5,24.78
kitti,val,yolov8x,combined_all,456,95.28999999999999,70.28,47.260000000000005,88.2,38.53,24.75
kitti,val,yolov8x,combined_best_two,42,95.67999999999999,70.00999999999999,44.690000000000005,88.49000000000001,39.95,25.93
